|2 | 1 | 81.83 | 92.07 | 95.01 | 62.33 |
|2 | 2 | 81.06 | 91.63 | 94.80 | 61.76 |
|2 | 3 | 83.94 | 93.08 | 95.49 | 63.93 |
|2 | 4 | 86.19 | 94.24 | 96.14 | 67.00 |
|2 | 5 | 82.54 | 93.02 | 95.40 | 63.93 |
|4 | 1 | 66.98 | 82.66 | 87.50 | 47.26 |
|4 | 2 | 61.25 | 77.88 | 84.29 | 43.03 |
|4 | 3 | 69.63 | 84.26 | 88.90 | 49.17 |
|4 | 4 | 83.49 | 93.82 | 95.64 | 63.69 |
|4 | 5 | 53.56 | 71.64 | 78.36 | 38.24 |
|8 | 1 | 38.75 | 57.24 | 64.85 | 25.16 |
|8 | 2 | 28.06 | 45.87 | 54.42 | 18.60 |
|8 | 3 | 29.90 | 45.78 | 53.86 | 17.93 |
|8 | 4 | 77.49 | 90.47 | 93.82 | 55.22 |
|8 | 5 | 11.02 | 20.78 | 27.58 | 7.84 |
|12 | 1 | 19.39 | 33.94 | 40.91 | 12.53 |
|12 | 2 | 16.24 | 30.88 | 38.57 | 11.08 |
|12 | 3 | 11.61 | 21.11 | 27.76 | 6.84 |
|12 | 4 | 71.97 | 86.85 | 90.56 | 48.11 |
|12 | 5 | 2.64 | 5.88 | 8.28 | 2.03 |
|16 | 1 | 8.49 | 17.67 | 22.39 | 5.74 |
|16 | 2 | 10.93 | 23.96 | 31.53 | 7.79 |
|16 | 3 | 4.93 | 10.51 | 14.31 | 3.11 |
|16 | 4 | 66.03 | 83.46 | 88.27 | 42.56 |
|16 | 5 | 0.62 | 1.90 | 2.88 | 0.72 |
