|2 | 1 | 0.894596 | 0.955760 | 0.970309 | 0.728997 |
|2 | 2 | 0.892518 | 0.956651 | 0.970903 | 0.727571 |
|2 | 3 | 0.915974 | 0.968230 | 0.977435 | 0.756809 |
|2 | 5 | 0.904394 | 0.961995 | 0.975356 | 0.739829 |
|2 | 6 | 0.923694 | 0.973872 | 0.983076 | 0.775714 |
|2 | 7 | 0.925772 | 0.973575 | 0.982482 | 0.775888 |
|2 | 8 | 0.925772 | 0.973575 | 0.982482 | 0.775888 |
|2 | 9 | 0.871734 | 0.947743 | 0.968230 | 0.696440 |
|4 | 1 | 0.838183 | 0.920428 | 0.944774 | 0.648226 |
|4 | 2 | 0.815915 | 0.914192 | 0.942399 | 0.632878 |
|4 | 3 | 0.868468 | 0.946853 | 0.964074 | 0.696932 |
|4 | 5 | 0.726841 | 0.863124 | 0.905582 | 0.543279 |
|4 | 6 | 0.923397 | 0.970606 | 0.981295 | 0.770800 |
|4 | 7 | 0.920724 | 0.971200 | 0.980701 | 0.770377 |
|4 | 8 | 0.920724 | 0.971200 | 0.980701 | 0.770377 |
|4 | 9 | 0.720903 | 0.852138 | 0.898159 | 0.523028 |
|8 | 1 | 0.716746 | 0.860154 | 0.899941 | 0.524257 |
|8 | 2 | 0.648456 | 0.804632 | 0.855404 | 0.461468 |
|8 | 3 | 0.671318 | 0.803444 | 0.848872 | 0.483529 |
|8 | 5 | 0.197447 | 0.335511 | 0.404691 | 0.129179 |
|8 | 6 | 0.901128 | 0.960214 | 0.973278 | 0.739736 |
|8 | 7 | 0.903504 | 0.962589 | 0.974762 | 0.738996 |
|8 | 8 | 0.903504 | 0.962589 | 0.974762 | 0.738996 |
|8 | 9 | 0.418052 | 0.616093 | 0.703682 | 0.286958 |
|12 | 1 | 0.586698 | 0.749109 | 0.812945 | 0.409697 |
|12 | 2 | 0.559085 | 0.728622 | 0.791271 | 0.380815 |
|12 | 3 | 0.459323 | 0.616093 | 0.686758 | 0.311468 |
|12 | 5 | 0.046615 | 0.101544 | 0.144299 | 0.032762 |
|12 | 6 | 0.865796 | 0.944774 | 0.964371 | 0.684781 |
|12 | 7 | 0.858373 | 0.943587 | 0.963777 | 0.678520 |
|12 | 8 | 0.858373 | 0.943587 | 0.963777 | 0.678520 |
|12 | 9 | 0.285036 | 0.468230 | 0.562945 | 0.190001 |
|16 | 1 | 0.421912 | 0.585808 | 0.663302 | 0.280624 |
|16 | 2 | 0.495546 | 0.676366 | 0.743171 | 0.328371 |
|16 | 3 | 0.294537 | 0.439133 | 0.510392 | 0.196915 |
|16 | 5 | 0.013361 | 0.033254 | 0.054335 | 0.011060 |
|16 | 6 | 0.791568 | 0.906176 | 0.930523 | 0.605099 |
|16 | 7 | 0.774347 | 0.888361 | 0.920724 | 0.589096 |
|16 | 8 | 0.774347 | 0.888361 | 0.920724 | 0.589095 |
|16 | 9 | 0.200713 | 0.359264 | 0.451010 | 0.135304 |
