|2 | 1 | 0.3160 | 0.8958
|2 | 2 | 0.1550 | 0.8193
|2 | 3 | 0.4387 | 0.9273
|2 | 4 | 0.3945 | 0.9454
|2 | 5 | 0.5700 | 0.8807
|4 | 1 | 0.2394 | 0.8165
|4 | 2 | 0.0498 | 0.5214
|4 | 3 | 0.0841 | 0.8020
|4 | 4 | 0.3327 | 0.9312
|4 | 5 | 0.2758 | 0.5355
|8 | 1 | 0.2016 | 0.7518
|8 | 2 | 0.0474 | 0.2900
|8 | 3 | 0.0013 | 0.5724
|8 | 4 | 0.2666 | 0.8884
|8 | 5 | 0.0181 | 0.1262
|12 | 1 | 0.1709 | 0.7133
|12 | 2 | 0.0474 | 0.2380
|12 | 3 | 0.0003 | 0.5085
|12 | 4 | 0.2291 | 0.8455
|12 | 5 | 0.0019 | 0.0201
|16 | 1 | 0.1495 | 0.6755
|16 | 2 | 0.0474 | 0.2147
|16 | 3 | 0.0003 | 0.4558
|16 | 4 | 0.2086 | 0.8113
|16 | 5 | 0.0006 | 0.0076
